hash,file_path,split,physical_class,canonical_class,duplicate_group_size,cross_split_duplicate,cross_class_duplicate
02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,dataset/test/pituitary/Te-pi_0045.jpg,test,pituitary,pituitary,2,True,False
02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,dataset/train/pituitary/Tr-pi_0668.jpg,train,pituitary,pituitary,2,True,False
039d0eb6b8493db695929536aa7476f8c472381a7c20de981bfe7e0bdd875a82,dataset/test/notumor/Te-noTr_0002.jpg,test,notumor,no_tumor,2,True,False
039d0eb6b8493db695929536aa7476f8c472381a7c20de981bfe7e0bdd875a82,dataset/train/notumor/Tr-no_0253.jpg,train,notumor,no_tumor,2,True,False
053a6036a57e58922ce011f713ddb44f78af390306aa055803e24338eb977075,dataset/test/notumor/Te-no_0025.jpg,test,notumor,no_tumor,2,True,False
053a6036a57e58922ce011f713ddb44f78af390306aa055803e24338eb977075,dataset/train/notumor/Tr-no_0329.jpg,train,notumor,no_tumor,2,True,False
05ec18666c6b751b8845a93824ea25c9bb251606b71f76c0c3875d69e973f72d,dataset/train/notumor/Tr-no_0192.jpg,train,notumor,no_tumor,2,False,False
05ec18666c6b751b8845a93824ea25c9bb251606b71f76c0c3875d69e973f72d,dataset/train/notumor/Tr-no_0980.jpg,train,notumor,no_tumor,2,False,False
06e6f334b7e990bd685265cea5af2b11410235f4a3baad476c964249310330f3,dataset/test/notumor/Te-no_0033.jpg,test,notumor,no_tumor,2,True,False
06e6f334b7e990bd685265cea5af2b11410235f4a3baad476c964249310330f3,dataset/train/notumor/Tr-no_0070.jpg,train,notumor,no_tumor,2,True,False
08690b76457b2b44d58682cece62ec951ef6d30d935ce07df852e97d44434680,dataset/test/pituitary/Te-pi_0066.jpg,test,pituitary,pituitary,2,True,False
08690b76457b2b44d58682cece62ec951ef6d30d935ce07df852e97d44434680,dataset/train/pituitary/Tr-pi_0740.jpg,train,pituitary,pituitary,2,True,False
08c04f3659f54e170fe84f98a8ed10a235809251d6ba7c5372f08c90421ce51e,dataset/test/notumor/Te-no_0034.jpg,test,notumor,no_tumor,2,True,False
08c04f3659f54e170fe84f98a8ed10a235809251d6ba7c5372f08c90421ce51e,dataset/train/notumor/Tr-no_0080.jpg,train,notumor,no_tumor,2,True,False
09b9031e30e757eb6e648686f0ca412357e86895ebbc52d300d2d0a9305fd417,dataset/train/meningioma/Tr-me_0227.jpg,train,meningioma,meningioma,2,False,False
09b9031e30e757eb6e648686f0ca412357e86895ebbc52d300d2d0a9305fd417,dataset/train/meningioma/Tr-me_0238.jpg,train,meningioma,meningioma,2,False,False
0d68dc0d87d099ad046fac3ec1359db1561e1c5d45a43e7c91e02a9f2f393df8,dataset/test/notumor/Te-no_0010.jpg,test,notumor,no_tumor,2,True,False
0d68dc0d87d099ad046fac3ec1359db1561e1c5d45a43e7c91e02a9f2f393df8,dataset/train/notumor/Tr-no_1039.jpg,train,notumor,no_tumor,2,True,False
0ff6650a53df2b89b4e569a7490843229227db14f5fc46fe99afdc789d058796,dataset/test/notumor/Te-no_0027.jpg,test,notumor,no_tumor,2,True,False
0ff6650a53df2b89b4e569a7490843229227db14f5fc46fe99afdc789d058796,dataset/train/notumor/Tr-no_1162.jpg,train,notumor,no_tumor,2,True,False
1180fefcd5ba2a8f43c541c3158c3d6b3edb8309eab8dc9c61f109d10d5b5050,dataset/train/notumor/Tr-no_0036.jpg,train,notumor,no_tumor,2,False,False
1180fefcd5ba2a8f43c541c3158c3d6b3edb8309eab8dc9c61f109d10d5b5050,dataset/train/notumor/Tr-no_1080.jpg,train,notumor,no_tumor,2,False,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/test/notumor/Te-no_0011.jpg,test,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/test/notumor/Te-no_0048.jpg,test,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/test/notumor/Te-no_0053.jpg,test,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/test/notumor/Te-no_0068.jpg,test,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/test/notumor/Te-no_0087.jpg,test,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/train/notumor/Tr-no_0224.jpg,train,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/train/notumor/Tr-no_0268.jpg,train,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/train/notumor/Tr-no_0332.jpg,train,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/train/notumor/Tr-no_0350.jpg,train,notumor,no_tumor,10,True,False
136e27954eca1b7b887f3700f412b2c531153938a0d721d1557a94c3362497c2,dataset/train/notumor/Tr-no_0982.jpg,train,notumor,no_tumor,10,True,False
14963471b7c2744df51c1da54f4e519cecc34aa12944f1968620da1d36d2c5c2,dataset/train/notumor/Tr-no_0216.jpg,train,notumor,no_tumor,2,False,False
14963471b7c2744df51c1da54f4e519cecc34aa12944f1968620da1d36d2c5c2,dataset/train/notumor/Tr-no_1060.jpg,train,notumor,no_tumor,2,False,False
16bdc3ca286cca1bb4761deeca41c63f5626ac65aff85231686caf5c3897c210,dataset/test/notumor/Te-no_0066.jpg,test,notumor,no_tumor,3,True,False
16bdc3ca286cca1bb4761deeca41c63f5626ac65aff85231686caf5c3897c210,dataset/train/notumor/Tr-no_0330.jpg,train,notumor,no_tumor,3,True,False
16bdc3ca286cca1bb4761deeca41c63f5626ac65aff85231686caf5c3897c210,dataset/train/notumor/Tr-no_0971.jpg,train,notumor,no_tumor,3,True,False
1760da4ac516c8564bf06bc349176a1463dbb49f4de7b6d0b986ff015b96bd62,dataset/train/notumor/Tr-no_0166.jpg,train,notumor,no_tumor,2,False,False
1760da4ac516c8564bf06bc349176a1463dbb49f4de7b6d0b986ff015b96bd62,dataset/train/notumor/Tr-no_1119.jpg,train,notumor,no_tumor,2,False,False
17bd1588f84aafbccb846c974ae1f24cef5ce6f0fc0f32a4417af50bfe9f52cd,dataset/train/notumor/Tr-no_0145.jpg,train,notumor,no_tumor,3,False,False
17bd1588f84aafbccb846c974ae1f24cef5ce6f0fc0f32a4417af50bfe9f52cd,dataset/train/notumor/Tr-no_0182.jpg,train,notumor,no_tumor,3,False,False
17bd1588f84aafbccb846c974ae1f24cef5ce6f0fc0f32a4417af50bfe9f52cd,dataset/train/notumor/Tr-no_1102.jpg,train,notumor,no_tumor,3,False,False
18cfaf6cee35ef130675d36429a4d0d9d944cef9942c203b01975b7130ff6df5,dataset/test/notumor/Te-no_0064.jpg,test,notumor,no_tumor,3,True,False
18cfaf6cee35ef130675d36429a4d0d9d944cef9942c203b01975b7130ff6df5,dataset/train/notumor/Tr-no_0327.jpg,train,notumor,no_tumor,3,True,False
18cfaf6cee35ef130675d36429a4d0d9d944cef9942c203b01975b7130ff6df5,dataset/train/notumor/Tr-no_0970.jpg,train,notumor,no_tumor,3,True,False
192cb19f45e0c2f320174ae32077f828514d07d101a3042b1064776e6bc28cd6,dataset/test/glioma/Te-gl_0024.jpg,test,glioma,glioma,2,False,False
192cb19f45e0c2f320174ae32077f828514d07d101a3042b1064776e6bc28cd6,dataset/test/glioma/Te-gl_0029.jpg,test,glioma,glioma,2,False,False
19d1e5fece32f25cffe40d78ee005f41ff3c2598c7765ed122ffb29518274326,dataset/test/notumor/Te-no_0035.jpg,test,notumor,no_tumor,5,True,False
19d1e5fece32f25cffe40d78ee005f41ff3c2598c7765ed122ffb29518274326,dataset/test/notumor/Te-no_0081.jpg,test,notumor,no_tumor,5,True,False
19d1e5fece32f25cffe40d78ee005f41ff3c2598c7765ed122ffb29518274326,dataset/train/notumor/Tr-no_0091.jpg,train,notumor,no_tumor,5,True,False
19d1e5fece32f25cffe40d78ee005f41ff3c2598c7765ed122ffb29518274326,dataset/train/notumor/Tr-no_0345.jpg,train,notumor,no_tumor,5,True,False
19d1e5fece32f25cffe40d78ee005f41ff3c2598c7765ed122ffb29518274326,dataset/train/notumor/Tr-no_0985.jpg,train,notumor,no_tumor,5,True,False
1cc081e753d825a7a043b7968fa48c166d3518426790468025d6674794791327,dataset/test/notumor/Te-no_0014.jpg,test,notumor,no_tumor,2,True,False
1cc081e753d825a7a043b7968fa48c166d3518426790468025d6674794791327,dataset/train/notumor/Tr-no_1173.jpg,train,notumor,no_tumor,2,True,False
1d489fd63322dff8146dfb442c512362d2d42d5f4e44b90414202ac0abe5f97e,dataset/test/notumor/Te-no_0057.jpg,test,notumor,no_tumor,3,True,False
1d489fd63322dff8146dfb442c512362d2d42d5f4e44b90414202ac0abe5f97e,dataset/train/notumor/Tr-no_0313.jpg,train,notumor,no_tumor,3,True,False
1d489fd63322dff8146dfb442c512362d2d42d5f4e44b90414202ac0abe5f97e,dataset/train/notumor/Tr-no_1166.jpg,train,notumor,no_tumor,3,True,False
1e1a27e88f2812b4b950fca09bf5f4b8fe20514826756ac69b37b43c0c73214b,dataset/train/notumor/Tr-no_0118.jpg,train,notumor,no_tumor,3,False,False
1e1a27e88f2812b4b950fca09bf5f4b8fe20514826756ac69b37b43c0c73214b,dataset/train/notumor/Tr-no_0123.jpg,train,notumor,no_tumor,3,False,False
1e1a27e88f2812b4b950fca09bf5f4b8fe20514826756ac69b37b43c0c73214b,dataset/train/notumor/Tr-no_0136.jpg,train,notumor,no_tumor,3,False,False
1fe1db4adc37442001e9e054e3a990efa31b7db7cdb0a3d2711afbf346f9094b,dataset/test/notumor/Te-no_0024.jpg,test,notumor,no_tumor,2,True,False
1fe1db4adc37442001e9e054e3a990efa31b7db7cdb0a3d2711afbf346f9094b,dataset/train/notumor/Tr-no_0290.jpg,train,notumor,no_tumor,2,True,False
20b0c7de1c131e75deff54e8f0c51eef6c48116cdcbf7bb1f47fc7e4c7f07ab1,dataset/train/notumor/Tr-no_0197.jpg,train,notumor,no_tumor,3,False,False
20b0c7de1c131e75deff54e8f0c51eef6c48116cdcbf7bb1f47fc7e4c7f07ab1,dataset/train/notumor/Tr-no_0276.jpg,train,notumor,no_tumor,3,False,False
20b0c7de1c131e75deff54e8f0c51eef6c48116cdcbf7bb1f47fc7e4c7f07ab1,dataset/train/notumor/Tr-no_1151.jpg,train,notumor,no_tumor,3,False,False
220816d55783431f776d10ccd11ebda7aa823602de035f0f07d0d7cd780cfa0f,dataset/test/notumor/Te-no_0037.jpg,test,notumor,no_tumor,3,True,False
220816d55783431f776d10ccd11ebda7aa823602de035f0f07d0d7cd780cfa0f,dataset/train/notumor/Tr-no_0113.jpg,train,notumor,no_tumor,3,True,False
220816d55783431f776d10ccd11ebda7aa823602de035f0f07d0d7cd780cfa0f,dataset/train/notumor/Tr-no_1093.jpg,train,notumor,no_tumor,3,True,False
23794834130a37699051efa29c29b9af12ae94b6a65d3957d7f9ad667f9bdf0f,dataset/train/notumor/Tr-no_0074.jpg,train,notumor,no_tumor,2,False,False
23794834130a37699051efa29c29b9af12ae94b6a65d3957d7f9ad667f9bdf0f,dataset/train/notumor/Tr-no_0079.jpg,train,notumor,no_tumor,2,False,False
23a839738271bed355a592894783aaec5b225a7ea883e26b116b63a6edb819a1,dataset/train/notumor/Tr-no_0031.jpg,train,notumor,no_tumor,2,False,False
23a839738271bed355a592894783aaec5b225a7ea883e26b116b63a6edb819a1,dataset/train/notumor/Tr-no_1072.jpg,train,notumor,no_tumor,2,False,False
247420d663a2af95266ddfb5c9cd2ee741d2474f300ca0d25809d37f61e9c4df,dataset/test/notumor/Te-no_0058.jpg,test,notumor,no_tumor,2,True,False
247420d663a2af95266ddfb5c9cd2ee741d2474f300ca0d25809d37f61e9c4df,dataset/train/notumor/Tr-no_0322.jpg,train,notumor,no_tumor,2,True,False
24d874e516a3da5ce8ada80135a0a62c8474538f72f098ad9d3e7ff794595f35,dataset/train/notumor/Tr-no_0017.jpg,train,notumor,no_tumor,2,False,False
24d874e516a3da5ce8ada80135a0a62c8474538f72f098ad9d3e7ff794595f35,dataset/train/notumor/Tr-no_1058.jpg,train,notumor,no_tumor,2,False,False
24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,dataset/train/meningioma/Tr-me_0176.jpg,train,meningioma,meningioma,3,False,False
24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,dataset/train/meningioma/Tr-me_0211.jpg,train,meningioma,meningioma,3,False,False
24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,dataset/train/meningioma/Tr-me_0366.jpg,train,meningioma,meningioma,3,False,False
25c13de1f058a3b2d081828fab9a6589ac1feba9a0c3963e8033115e3b9bc2ee,dataset/train/notumor/Tr-no_0128.jpg,train,notumor,no_tumor,2,False,False
25c13de1f058a3b2d081828fab9a6589ac1feba9a0c3963e8033115e3b9bc2ee,dataset/train/notumor/Tr-no_0137.jpg,train,notumor,no_tumor,2,False,False
25dbc9664f03a7af82b74aec6c5497cd94dc5f6f639907656725d0ac88cfd111,dataset/train/notumor/Tr-no_0120.jpg,train,notumor,no_tumor,4,False,False
25dbc9664f03a7af82b74aec6c5497cd94dc5f6f639907656725d0ac88cfd111,dataset/train/notumor/Tr-no_0125.jpg,train,notumor,no_tumor,4,False,False
