image_a,image_b,split_a,split_b,class_a,class_b,hash_distance
dataset/test/glioma/Te-gl_0024.jpg,dataset/test/glioma/Te-gl_0029.jpg,test,test,glioma,glioma,0
dataset/test/meningioma/Te-meTr_0001.jpg,dataset/train/meningioma/Tr-me_0196.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0003.jpg,dataset/train/meningioma/Tr-me_0195.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0004.jpg,dataset/train/meningioma/Tr-me_0292.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0004.jpg,dataset/train/meningioma/Tr-me_0595.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0005.jpg,dataset/train/meningioma/Tr-me_0358.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0006.jpg,dataset/train/meningioma/Tr-me_0360.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0007.jpg,dataset/train/meningioma/Tr-me_0197.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0008.jpg,dataset/train/meningioma/Tr-me_0363.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-meTr_0009.jpg,dataset/train/meningioma/Tr-me_0364.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0010.jpg,dataset/test/meningioma/Te-me_0031.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0010.jpg,dataset/train/meningioma/Tr-me_0176.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0010.jpg,dataset/train/meningioma/Tr-me_0211.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0010.jpg,dataset/train/meningioma/Tr-me_0366.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0011.jpg,dataset/train/meningioma/Tr-me_0198.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0012.jpg,dataset/train/meningioma/Tr-me_0178.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0013.jpg,dataset/train/meningioma/Tr-me_0179.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0015.jpg,dataset/train/meningioma/Tr-me_0182.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0016.jpg,dataset/train/meningioma/Tr-me_0183.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0017.jpg,dataset/test/meningioma/Te-meTr_0004.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0017.jpg,dataset/test/meningioma/Te-me_0107.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0017.jpg,dataset/train/meningioma/Tr-me_0292.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0017.jpg,dataset/train/meningioma/Tr-me_0595.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0018.jpg,dataset/train/meningioma/Tr-me_0596.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0019.jpg,dataset/train/meningioma/Tr-me_0199.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0020.jpg,dataset/train/meningioma/Tr-me_0200.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0021.jpg,dataset/train/meningioma/Tr-me_0201.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0022.jpg,dataset/train/meningioma/Tr-me_0202.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0023.jpg,dataset/train/meningioma/Tr-me_0203.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0024.jpg,dataset/train/meningioma/Tr-me_0204.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0025.jpg,dataset/test/meningioma/Te-me_0104.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0025.jpg,dataset/train/meningioma/Tr-me_0175.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0025.jpg,dataset/train/meningioma/Tr-me_0205.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0025.jpg,dataset/train/meningioma/Tr-me_0281.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0026.jpg,dataset/test/meningioma/Te-me_0068.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0026.jpg,dataset/test/meningioma/Te-me_0095.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0026.jpg,dataset/train/meningioma/Tr-me_0187.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0026.jpg,dataset/train/meningioma/Tr-me_0246.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0026.jpg,dataset/train/meningioma/Tr-me_0272.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0027.jpg,dataset/train/meningioma/Tr-me_0207.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0028.jpg,dataset/test/meningioma/Te-me_0076.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0028.jpg,dataset/train/meningioma/Tr-me_0208.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0028.jpg,dataset/train/meningioma/Tr-me_0254.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0029.jpg,dataset/train/meningioma/Tr-me_0209.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0030.jpg,dataset/train/meningioma/Tr-me_0210.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0031.jpg,dataset/train/meningioma/Tr-me_0176.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0031.jpg,dataset/train/meningioma/Tr-me_0211.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0031.jpg,dataset/train/meningioma/Tr-me_0366.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0032.jpg,dataset/test/meningioma/Te-me_0093.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0032.jpg,dataset/train/meningioma/Tr-me_0212.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0032.jpg,dataset/train/meningioma/Tr-me_0270.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0034.jpg,dataset/train/meningioma/Tr-me_0214.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0035.jpg,dataset/train/meningioma/Tr-me_0215.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0036.jpg,dataset/train/meningioma/Tr-me_0216.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0037.jpg,dataset/train/meningioma/Tr-me_0188.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0038.jpg,dataset/train/meningioma/Tr-me_0217.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0039.jpg,dataset/train/meningioma/Tr-me_0218.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0040.jpg,dataset/train/meningioma/Tr-me_0219.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0041.jpg,dataset/train/meningioma/Tr-me_0220.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0042.jpg,dataset/test/meningioma/Te-me_0054.jpg,test,test,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0042.jpg,dataset/train/meningioma/Tr-me_0221.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0042.jpg,dataset/train/meningioma/Tr-me_0233.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0043.jpg,dataset/train/meningioma/Tr-me_0222.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0044.jpg,dataset/train/meningioma/Tr-me_0223.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0045.jpg,dataset/train/meningioma/Tr-me_0224.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0046.jpg,dataset/train/meningioma/Tr-me_0225.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0047.jpg,dataset/train/meningioma/Tr-me_0226.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0048.jpg,dataset/train/meningioma/Tr-me_0189.jpg,test,train,meningioma,meningioma,0
dataset/test/meningioma/Te-me_0049.jpg,dataset/train/meningioma/Tr-me_0228.jpg,test,train,meningioma,meningioma,0
