subject_id,tumor_voxel_count,tumor_fraction,num_positive_slices,total_slices,volume_shape,spacing
BraTS-GLI-00000-000,57305,0.006418570788530466,47,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00002-000,190594,0.021347894265232974,86,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00003-000,99239,0.011115479390681004,60,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00005-000,124783,0.013976590501792115,65,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00006-000,137911,0.015447020609318997,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00008-000,18462,0.0020678763440860216,40,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00008-001,15526,0.0017390232974910395,39,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00009-000,27453,0.0030749327956989246,61,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00009-001,27091,0.003034386200716846,46,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00011-000,70184,0.00786111111111111,61,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00012-000,263809,0.029548499103942652,81,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00014-000,38358,0.004296370967741935,51,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00014-001,38600,0.0043234767025089604,40,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00016-000,74546,0.008349686379928315,61,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00016-001,71716,0.008032706093189965,68,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00017-000,99385,0.011131832437275986,72,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00017-001,66343,0.007430891577060932,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00018-000,160203,0.01794388440860215,70,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00019-000,142997,0.01601668906810036,71,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00020-000,59921,0.006711581541218638,49,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00020-001,48705,0.005455309139784946,52,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00021-000,89260,0.009997759856630824,64,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00021-001,130905,0.014662298387096774,75,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
BraTS-GLI-00022-000,112949,0.012651097670250896,79,155,"[240, 240, 155]","[1.0, 1.0, 1.0]"
